code;secteur;sousSecteur;intitule;nom;metropole;dom;dateDebut;dateFin;version
BAT-EN-101;BAT;Enveloppe;Isolation de combles ou de toitures (France métropolitaine);Isolation de combles ou de toitures (France métropolitaine);true;false;2021-01-01;null;33
BAT-EN-102;BAT;Enveloppe;Isolation des murs (France métropolitaine);Isolation des murs (France métropolitaine);true;false;2021-01-01;null;27
BAT-EN-103;BAT;Enveloppe;Isolation d'un plancher;Isolation d'un plancher;true;true;2021-01-01;null;33
BAT-EN-104;BAT;Enveloppe;Fenêtre ou porte-fenêtre complète avec vitrage isolant;Fenêtre ou porte-fenêtre complète avec vitrage isolant;true;true;2021-01-01;null;27
BAT-EN-106;BAT;Enveloppe;Isolation de combles ou de toitures (France d’outre-mer);Isolation de combles ou de toitures (France d’outre-mer);false;true;2021-01-01;null;33
BAT-EN-107;BAT;Enveloppe;Isolation des toitures-terrasses;Isolation des toitures-terrasses;true;true;2021-01-01;null;27
BAT-EN-108;BAT;Enveloppe;Isolation des murs (France d’outre-mer);Isolation des murs (France d’outre-mer);false;true;2021-01-01;null;19
BAT-EN-109;BAT;Enveloppe;Réduction des apports solaires par la toiture (France d’outre-mer);Réduction des apports solaires par la toiture (France d’outre-mer);false;true;2021-01-01;null;24
BAT-EN-110;BAT;Enveloppe;Protections des baies contre le rayonnement solaire (France d'outre-mer);Protections des baies contre le rayonnement solaire (France d'outre-mer);false;true;2021-01-01;null;25
BAT-EQ-117;BAT;Equipement;Installation frigorifique utilisant du CO2 subcritique ou transcritique;Installation frigorifique utilisant du CO2 subcritique ou transcritique;true;true;2021-01-01;null;24
BAT-EQ-123;BAT;Equipement;Moto-variateur synchrone à aimants permanents ou à réluctance;Moto-variateur synchrone à aimants permanents ou à réluctance;true;true;2021-01-01;null;25
BAT-EQ-124;BAT;Equipement;Fermeture des meubles frigorifiques de vente à température positive;Fermeture des meubles frigorifiques de vente à température positive;true;true;2021-01-01;null;15
BAT-EQ-125;BAT;Equipement;Fermeture des meubles frigorifiques de vente à température négative;Fermeture des meubles frigorifiques de vente à température négative;true;true;2021-01-01;null;22
BAT-EQ-127;BAT;Equipement;Luminaires d'éclairage général à modules LED;Luminaires d'éclairage général à modules LED;true;true;2021-01-01;null;35
BAT-EQ-129;BAT;Equipement;Lanterneaux d'éclairage zénithal;Lanterneaux d'éclairage zénithal;true;false;2021-01-01;null;26
BAT-EQ-130;BAT;Equipement;Système de condensation frigorifique à haute efficacité;Système de condensation frigorifique à haute efficacité;true;true;2021-01-01;null;22
